Date,Cost,Credit,Balance,Type
5/15/2020,$8.59,$0.00,$3409.93,Print
5/15/2020,$3.25,$0.00,$3418.52,Print
5/15/2020,$2.74,$0.00,$3421.77,Print
5/15/2020,$3.31,$0.00,$3424.51,Print
5/15/2020,$3.21,$0.00,$3427.82,Print
5/15/2020,$2.76,$0.00,$3431.03,Print
5/15/2020,$3.25,$0.00,$3433.79,Print
5/15/2020,$3.25,$0.00,$3437.04,Print
5/15/2020,$3.23,$0.00,$3440.29,Print
5/15/2020,$3.25,$0.00,$3443.52,Print
5/15/2020,$2.84,$0.00,$3446.77,Print
5/15/2020,$2.74,$0.00,$3449.61,Print
5/15/2020,$4.08,$0.00,$3452.35,Print
5/15/2020,$2.74,$0.00,$3456.43,Print
5/15/2020,$3.21,$0.00,$3459.17,Print
5/15/2020,$5.27,$0.00,$3462.38,Print
5/15/2020,$3.39,$0.00,$3467.65,Print
5/15/2020,$2.84,$0.00,$3471.04,Print
5/15/2020,$3.25,$0.00,$3473.88,Print
5/15/2020,$2.78,$0.00,$3477.13,Print
5/15/2020,$2.74,$0.00,$3479.91,Print
5/15/2020,$2.78,$0.00,$3482.65,Print
5/15/2020,$2.78,$0.00,$3485.43,Print
5/15/2020,$3.25,$0.00,$3488.21,Print
5/15/2020,$3.21,$0.00,$3491.46,Print
5/15/2020,$3.52,$0.00,$3494.67,Print
5/15/2020,$2.84,$0.00,$3498.19,Print
5/15/2020,$4.00,$0.00,$3501.03,Print
5/15/2020,$3.21,$0.00,$3505.03,Print
5/15/2020,$3.25,$0.00,$3508.24,Print
5/15/2020,$3.21,$0.00,$3511.49,Print
5/15/2020,$3.52,$0.00,$3514.70,Print
5/15/2020,$3.25,$0.00,$3518.22,Print
5/15/2020,$3.52,$0.00,$3521.47,Print
5/15/2020,$2.78,$0.00,$3524.99,Print
5/15/2020,$3.25,$0.00,$3527.77,Print
5/15/2020,$3.25,$0.00,$3531.02,Print
5/15/2020,$3.21,$0.00,$3534.27,Print
5/15/2020,$3.21,$0.00,$3537.48,Print
5/15/2020,$3.25,$0.00,$3540.69,Print
5/15/2020,$3.39,$0.00,$3543.94,Print
5/15/2020,$3.31,$0.00,$3547.33,Print
5/15/2020,$9.99,$0.00,$3550.64,Print
5/15/2020,$3.52,$0.00,$3560.63,Print
5/15/2020,$4.32,$0.00,$3564.15,Print
5/15/2020,$3.25,$0.00,$3568.47,Print
5/15/2020,$3.31,$0.00,$3571.72,Print
5/15/2020,$3.21,$0.00,$3575.03,Print
5/15/2020,$3.93,$0.00,$3578.24,Print
5/15/2020,$2.78,$0.00,$3582.17,Print
5/15/2020,$2.76,$0.00,$3584.95,Print
5/15/2020,$2.78,$0.00,$3587.71,Print
5/15/2020,$2.74,$0.00,$3590.49,Print
5/15/2020,$2.74,$0.00,$3593.23,Print
5/15/2020,$2.76,$0.00,$3595.97,Print
5/15/2020,$2.74,$0.00,$3598.73,Print
5/15/2020,$2.78,$0.00,$3601.47,Print
5/15/2020,$2.78,$0.00,$3604.25,Print
5/15/2020,$2.74,$0.00,$3607.03,Print
5/15/2020,$2.74,$0.00,$3609.77,Print
5/15/2020,$2.78,$0.00,$3612.51,Print
5/15/2020,$3.25,$0.00,$3615.29,Print
5/15/2020,$3.52,$0.00,$3618.54,Print
5/15/2020,$3.39,$0.00,$3622.06,Print
5/15/2020,$2.74,$0.00,$3625.45,Print
5/15/2020,$2.84,$0.00,$3628.19,Print
5/15/2020,$2.74,$0.00,$3631.03,Print
5/15/2020,$4.08,$0.00,$3633.77,Print
5/15/2020,$2.78,$0.00,$3637.85,Print
5/15/2020,$3.25,$0.00,$3640.63,Print
5/15/2020,$2.74,$0.00,$3643.88,Print
5/15/2020,$2.74,$0.00,$3646.62,Print
5/15/2020,$3.31,$0.00,$3649.36,Print
5/15/2020,$2.74,$0.00,$3652.67,Print
5/15/2020,$4.08,$0.00,$3655.41,Print
5/15/2020,$2.76,$0.00,$3659.49,Print
5/15/2020,$2.74,$0.00,$3662.25,Print
5/15/2020,$2.93,$0.00,$3664.99,Print
5/15/2020,$2.78,$0.00,$3667.92,Print
5/15/2020,$3.21,$0.00,$3670.70,Print
5/15/2020,$3.67,$0.00,$3673.91,Print
5/15/2020,$4.00,$0.00,$3677.58,Print
5/15/2020,$3.97,$0.00,$3681.58,Print
5/15/2020,$3.39,$0.00,$3685.55,Print
5/15/2020,$2.78,$0.00,$3688.94,Print
5/15/2020,$2.76,$0.00,$3691.72,Print
5/15/2020,$3.31,$0.00,$3694.48,Print
5/15/2020,$3.25,$0.00,$3697.79,Print
5/15/2020,$3.21,$0.00,$3701.04,Print
5/15/2020,$2.84,$0.00,$3704.25,Print
5/15/2020,$2.84,$0.00,$3707.09,Print
5/15/2020,$3.21,$0.00,$3709.93,Print
5/15/2020,$2.78,$0.00,$3713.14,Print
5/15/2020,$2.74,$0.00,$3715.92,Print
5/15/2020,$2.78,$0.00,$3718.66,Print
5/15/2020,$2.78,$0.00,$3721.44,Print
5/15/2020,$3.25,$0.00,$3724.22,Print
5/15/2020,$2.78,$0.00,$3727.47,Print
5/15/2020,$2.76,$0.00,$3730.25,Print
5/15/2020,$2.84,$0.00,$3733.01,Print
5/15/2020,$2.76,$0.00,$3735.85,Print
5/15/2020,$2.84,$0.00,$3738.61,Print
5/15/2020,$2.74,$0.00,$3741.45,Print
5/15/2020,$2.84,$0.00,$3744.19,Print
5/15/2020,$2.76,$0.00,$3747.03,Print
5/15/2020,$2.76,$0.00,$3749.79,Print
5/15/2020,$2.76,$0.00,$3752.55,Print
5/15/2020,$2.78,$0.00,$3755.31,Print
5/15/2020,$2.78,$0.00,$3758.09,Print
5/15/2020,$3.21,$0.00,$3760.87,Print
5/15/2020,$2.74,$0.00,$3764.08,Print
5/15/2020,$2.78,$0.00,$3766.82,Print
5/15/2020,$3.25,$0.00,$3769.60,Print
5/15/2020,$2.84,$0.00,$3772.85,Print
5/15/2020,$2.76,$0.00,$3775.69,Print
5/15/2020,$2.74,$0.00,$3778.45,Print
5/15/2020,$2.76,$0.00,$3781.19,Print
5/15/2020,$2.78,$0.00,$3783.95,Print
5/15/2020,$2.76,$0.00,$3786.73,Print
5/15/2020,$2.76,$0.00,$3789.49,Print
5/15/2020,$2.78,$0.00,$3792.25,Print
5/15/2020,$3.25,$0.00,$3795.03,Print
5/15/2020,$2.84,$0.00,$3798.28,Print
5/15/2020,$2.74,$0.00,$3801.12,Print
5/15/2020,$3.31,$0.00,$3803.86,Print
5/15/2020,$4.08,$0.00,$3807.17,Print
5/15/2020,$2.74,$0.00,$3811.25,Print
5/15/2020,$2.74,$0.00,$3813.99,Print
