Date,Cost,Credit,Balance,Type
5/24/2020,$2.76,$0.00,$4292.38,Print
5/24/2020,$2.74,$0.00,$4289.64,Print
5/24/2020,$2.78,$0.00,$4286.86,Print
5/24/2020,$2.78,$0.00,$4284.08,Print
5/24/2020,$2.84,$0.00,$4281.24,Print
5/24/2020,$2.78,$0.00,$4278.46,Print
5/24/2020,$2.74,$0.00,$4275.72,Print
5/24/2020,$3.21,$0.00,$4272.51,Print
5/24/2020,$2.78,$0.00,$4269.73,Print
5/24/2020,$3.25,$0.00,$4266.48,Print
5/24/2020,$2.78,$0.00,$4263.70,Print
5/24/2020,$2.78,$0.00,$4260.92,Print
5/24/2020,$2.78,$0.00,$4258.14,Print
5/24/2020,$2.74,$0.00,$4255.40,Print
5/24/2020,$3.31,$0.00,$4252.09,Print
5/24/2020,$2.76,$0.00,$4249.33,Print
5/24/2020,$7.56,$0.00,$4241.77,Print
5/24/2020,$2.74,$0.00,$4239.03,Print
5/24/2020,$2.74,$0.00,$4236.29,Print
5/24/2020,$3.25,$0.00,$4233.04,Print
5/24/2020,$2.78,$0.00,$4230.26,Print
5/24/2020,$2.76,$0.00,$4227.50,Print
5/24/2020,$2.74,$0.00,$4224.76,Print
5/24/2020,$2.78,$0.00,$4221.98,Print
5/24/2020,$2.74,$0.00,$4219.24,Print
5/24/2020,$2.74,$0.00,$4216.50,Print
5/24/2020,$2.78,$0.00,$4213.72,Print
5/24/2020,$2.76,$0.00,$4210.96,Print
5/24/2020,$2.84,$0.00,$4208.12,Print
5/24/2020,$3.52,$0.00,$4204.60,Print
5/24/2020,$2.74,$0.00,$4201.86,Print
5/24/2020,$2.74,$0.00,$4199.12,Print
5/24/2020,$2.84,$0.00,$4196.28,Print
5/24/2020,$3.97,$0.00,$4192.31,Print
5/24/2020,$2.74,$0.00,$4189.57,Print
5/24/2020,$2.84,$0.00,$4186.73,Print
5/24/2020,$3.21,$0.00,$4183.52,Print
5/24/2020,$2.78,$0.00,$4180.74,Print
5/24/2020,$2.74,$0.00,$4178.00,Print
5/24/2020,$2.74,$0.00,$4175.26,Print
5/24/2020,$2.78,$0.00,$4172.48,Print
5/24/2020,$2.74,$0.00,$4169.74,Print
5/24/2020,$3.52,$0.00,$4166.22,Print
5/24/2020,$2.74,$0.00,$4163.48,Print
5/24/2020,$2.78,$0.00,$4160.70,Print
5/24/2020,$4.32,$0.00,$4156.38,Print
5/24/2020,$5.04,$0.00,$4151.34,Print
5/24/2020,$2.78,$0.00,$4148.56,Print
5/24/2020,$3.52,$0.00,$4145.04,Print
5/24/2020,$5.27,$0.00,$4139.77,Print
5/24/2020,$2.84,$0.00,$4136.93,Print
5/24/2020,$3.25,$0.00,$4133.68,Print
5/24/2020,$3.25,$0.00,$4130.43,Print
5/24/2020,$5.27,$0.00,$4125.16,Print
5/24/2020,$5.70,$0.00,$4119.46,Print
5/24/2020,$4.00,$0.00,$4115.46,Print
5/24/2020,$4.00,$0.00,$4111.46,Print
5/24/2020,$3.97,$0.00,$4107.49,Print
